configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.6660182812966988,0.009046150526515162,0.003489774001410982,294.6095296032377,-0.00012240595488420693,1.0896156470699658,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
0,1,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.6878047820333723,0.011077213577251253,0.004688707579408266,518.4627798555357,-0.0001157899462616951,1.1477979268193281,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
0,2,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7497833941637446,0.007860718336747435,0.0037481864939918072,523.0333303850591,0.0010712935548840546,0.9100446294701141,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
0,3,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8020363609522403,0.009103632836200687,0.004030676900277127,441.0178642356372,-0.0004701210661216236,0.8939130758319804,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
0,4,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.6320279896369754,0.008476511676643136,0.0035307179673801335,349.5895324451361,0.0008317858980591863,1.147635772934657,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
0,mean,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7075341616166063,0.009112845390671535,0.003897612588493663,425.34260730492116,0.00023895249713514304,1.037801410425209,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.6998365323336548,0.008575932999555304,0.004184637827120755,198.1180860741429,0.0007971446712811076,1.0329775916451487,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.6388844798243606,0.011913530558652964,0.0051931403991735394,322.0651388655047,-0.0001842596260940824,1.234455360182176,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,2,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.616505678905972,0.009731586321396745,0.005252727493590599,526.6649147045639,0.002439509086461634,1.1266372217677492,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,3,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.6704320030468198,0.011746122764525137,0.00537760102837325,430.5862124666113,-0.0002745462268781151,1.153387105835739,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,4,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.6476671598428951,0.008294425948898688,0.004102015013260925,266.31942443976016,0.0011012427164164406,1.1229831678452098,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
1,mean,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 5, ""n_estimators"": 500}",0.6546651707907405,0.010052319718605767,0.004822024352303814,348.75075531011663,0.0007758181242373969,1.1340880894552048,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
2,0,"{""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",0.6565042825781534,0.009174092734806237,0.004636192005897886,565.9867622465617,0.00048115015893625675,1.105026382461337,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
2,1,"{""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",0.6314264508019782,0.012035925432293258,0.005772648332128583,821.8721496780084,-4.078991515575624e-05,1.2471376634742375,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
2,2,"{""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",0.6262040442453063,0.00960774504294986,0.005630692010451956,1020.4606262318736,0.002082398159881319,1.1122999709556392,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse
