configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.6359008480889918,0.011534988140471712,0.004492549794238683,179.43769998167576,0.00022718683127572048,1.2366047606532455,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
0,1,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.6349097284087242,0.010321411075838104,0.004314121810699588,129.1933589064723,-0.0003283275720164605,1.148619648205543,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
0,2,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.721172864753368,0.010747803378394628,0.004479460082304526,133.72336247267188,-0.0012392724279835384,1.0837311544110801,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
0,3,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.6997604419638276,0.008403681976042297,0.0035724427983539093,104.29705419927092,-0.00022977942386831238,1.0904326820827464,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
0,4,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.5639228876926206,0.009197563012420015,0.004538034653465346,224.02056338794196,0.0005852887788778881,1.118264935121067,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
0,mean,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.6511333541815064,0.010041089516633352,0.00427932182781241,154.13440778960654,-0.00019698076274294059,1.1355306360947364,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
1,0,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.6782307349311201,0.010843752533976412,0.003980947523634821,128.83940933736287,1.585947584824424e-05,1.162501065762913,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
1,1,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.681993490034281,0.009632897745767529,0.0037852250648205484,74.51238033051673,-0.0006226697307161133,1.0719983477690351,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
1,2,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7635864271779352,0.009896654241638207,0.0037817796804554904,45.60960469202112,-0.0013103202889031068,0.997907400097963,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
1,3,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7434554099257258,0.00776814070213675,0.003096980720443319,57.57887260220457,0.0001355491397882287,1.0079670464417503,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt
