candidate_id,model_id,model_family,protocol,split_id,seed,fold,selected_hyperparameters
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,"{""C"": 30.0, ""gamma"": 0.03, ""shrinking"": false}"
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-43__fold-0,43,0,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-44__fold-0,44,0,"{""C"": 30.0, ""gamma"": 0.03, ""shrinking"": false}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-42__fold-0,42,0,"{""C"": 30.0, ""gamma"": 0.3, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-42__fold-1,42,1,"{""C"": 30.0, ""gamma"": 0.03, ""shrinking"": false}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-42__fold-2,42,2,"{""C"": 30.0, ""gamma"": 0.3, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-42__fold-3,42,3,"{""C"": 30.0, ""gamma"": 0.3, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-42__fold-4,42,4,"{""C"": 30.0, ""gamma"": 0.3, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-43__fold-0,43,0,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-43__fold-1,43,1,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-43__fold-2,43,2,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-43__fold-3,43,3,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-43__fold-4,43,4,"{""C"": 30.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-44__fold-0,44,0,"{""C"": 10.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-44__fold-1,44,1,"{""C"": 10.0, ""gamma"": 0.1, ""shrinking"": true}"
svm_baseline,svm_baseline,svm,interpolation_stratified,interpolation_stratified__seed-44__fold-2,44,2,"{""C"": 30.0, ""gamma"": 0.03, ""shrinking"": false}"
